2025-07-21 23:49:50,239 - Drowsiness detected
INFO:root:Drowsiness detected at 2025-07-22 11:16:51.889243
INFO:root:Drowsiness detected at 2025-07-22 11:16:51.976564
INFO:root:Drowsiness detected at 2025-07-22 11:16:52.065288
INFO:root:Drowsiness detected at 2025-07-22 11:17:08.758128
INFO:root:Drowsiness detected at 2025-07-22 11:17:08.845072
INFO:root:Drowsiness detected at 2025-07-22 11:17:08.932383
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.020185
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.108359
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.196483
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.284712
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.372750
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.459926
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.551202
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.640010
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.728348
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.817933
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.908982
INFO:root:Drowsiness detected at 2025-07-22 11:17:09.996228
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.083130
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.171255
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.283391
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.373630
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.461576
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.548413
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.635113
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.727224
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.817000
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.907616
INFO:root:Drowsiness detected at 2025-07-22 11:17:10.996269
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.085420
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.175945
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.266028
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.357733
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.448380
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.538502
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.627987
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.719355
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.810123
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.899768
INFO:root:Drowsiness detected at 2025-07-22 11:17:11.989503
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.078292
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.168249
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.255494
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.342216
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.430597
INFO:root:Drowsiness detected at 2025-07-22 11:17:12.518112
INFO:root:Drowsiness detected at 2025-07-22 11:17:13.961175
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.049900
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.138788
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.226800
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.315256
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.402238
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.491379
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.580346
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.674170
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.760721
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.849558
INFO:root:Drowsiness detected at 2025-07-22 11:17:14.939184
INFO:root:Drowsiness detected at 2025-07-22 11:17:15.029235
INFO:root:Drowsiness detected at 2025-07-22 11:17:15.118107
INFO:root:Drowsiness detected at 2025-07-22 11:17:15.206161
INFO:root:Drowsiness detected at 2025-07-22 11:17:15.293360
INFO:root:Drowsiness detected at 2025-07-22 11:17:15.419593
INFO:root:Drowsiness detected at 2025-07-22 11:21:57.425834
INFO:root:Drowsiness detected at 2025-07-22 11:21:57.733447
INFO:root:Drowsiness detected at 2025-07-22 11:21:57.827913
INFO:root:Drowsiness detected at 2025-07-22 11:21:57.917213
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.006462
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.094576
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.184327
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.273839
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.362269
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.451744
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.540753
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.630067
INFO:root:Drowsiness detected at 2025-07-22 11:21:58.718550
